S3 Table. Full list of DEGs identified in vEDS patients' skin fibroblasts.						
Column #	Transcript ID	gene_assignment	Gene Symbol	RefSeq	p-value adjusted (FDR 5%)	Fold-Change 
25187	8106709	NM_001131028 // ATG10 // autophagy related 10 // 5q14.1 // 83734 /// NM_031482 // ATG10	ATG10	NM_001131028	2.39E-05	-1.93468
26321	8117415	"NM_003532 // HIST1H3E // histone cluster 1, H3e // 6p22.2 // 8353 /// ENST00000614911 /"	HIST1H3E	NM_003532	0.00055711	-1.9338
26176	8116227	NM_020666 // CLK4 // CDC like kinase 4 // 5q35 // 57396 /// XM_005265947 // CLK4 // CDC	CLK4	NM_020666	0.00011691	-1.92772
11905	7973414	"NM_001042635 // NGDN // neuroguidin, EIF4E binding protein // 14q11.2 // 25983 /// NM_0"	NGDN	NM_001042635	3.66E-08	-1.92526
16445	8019857	NM_006101 // NDC80 // NDC80 kinetochore complex component // 18p11.32 // 10403 /// ENST	NDC80	NM_006101	0.0128115	-1.92513
10370	7957570	NM_005761 // PLXNC1 // plexin C1 // 12q23.3 // 10154 /// NR_037687 // PLXNC1 // plexin 	PLXNC1	NM_005761	0.0131016	-1.91849
26818	8122136	NM_001016 // RPS12 // ribosomal protein S12 // 6q23.2 // 6206 /// ENST00000230050 // RP	RPS12	NM_001016	7.62E-05	-1.91752
11959	7973936	NM_001282232 // PSMA6 // proteasome subunit alpha 6 // 14q13 // 5687 /// NM_001282233 /	PSMA6	NM_001282232	1.68E-08	-1.90666
20447	8059852	NR_024322 // MSL3P1 // male-specific lethal 3 homolog (Drosophila) pseudogene 1 // 2q37	MSL3P1	NR_024322	0.000686686	-1.90428
25275	8107532	NM_000414 // HSD17B4 // hydroxysteroid (17-beta) dehydrogenase 4 // 5q21 // 3295 /// NM	HSD17B4	NM_000414	0.000204686	-1.9035
16438	8019802	"NR_002716 // RNU2-1 // RNA, U2 small nuclear 1 // 17q12 // 6066 /// ENST00000525239 // "	RNU2-1	NR_002716	6.91E-06	-1.90026
28165	8135378	"NM_002736 // PRKAR2B // protein kinase, cAMP-dependent, regulatory, type II, beta // 7q"	PRKAR2B	NM_002736	0.00159327	-1.89507
24884	8103722	"AY956762 // HSP90AA6P // heat shock protein 90kDa alpha (cytosolic), class A member 6, "	HSP90AA6P	AY956762	3.65E-05	-1.89486
25376	8108603	"NM_001278731 // HARS2 // histidyl-tRNA synthetase 2, mitochondrial // 5q31.3 // 23438 /"	HARS2	NM_001278731	1.40E-07	-1.89346
11024	7964733	NR_026825 // RPSAP52 // ribosomal protein SA pseudogene 52 // 12q14.3 // 204010 /// ENS	RPSAP52	NR_026825	0.00929161	-1.88963
